addr	type	field1	field2	field3
0x00045194	phy_write	0x0415	0x0000	
0x000451a4	phy_write	0x040e	0x0000	
0x000451b4	phy_write	0x040c	0x2000	
0x000451c4	phy_write	0x0408	0x0000	
0x000451d4	phy_write	0x0417	0x0000	
0x000451e4	phy_write	0x0416	0x000d	
0x00045228	phy_write	0x0408	0x0007	
0x00045234	udelay	100		
0x00045244	phy_write	0x0408	0x0006	
0x00045330	radio_maskset	0x096b	0x0800	0x0800
0x00045770	radio_maskset	0x096b	0x4000	0x4000
0x00045794	radio_maskset	0x096c	0x0800	0x0800
0x000457b8	radio_maskset	0x096b	0x8000	0x8000
0x000457dc	radio_maskset	0x096b	0x1000	0x1000
0x0004540c	radio_maskset	0x096b	0x0004	0x0004
0x00045438	radio_maskset	0x0407	0x0002	0x0002
0x000456a4	phy_write	0x0417	0x000d	
0x000456b4	phy_write	0x0408	0x0002	
0x000456d0	udelay	100		
0x000456e0	phy_write	0x0417	0x0004	
