phase	addr	type	field1	field2	field3
on	0x0004588c	extern_call	wlc_phy_radio2069_pwron_seq		
on	0x000458dc	radio_maskset	0x08ea	0x0040	0x0040
on	0x00045908	radio_maskset	0x08ea	0x0080	0x0080
on	0x00045934	radio_maskset	0x08ed	0x0600	0x0000
on	0x00045960	radio_maskset	0x08ed	0x1800	0x0000
on	0x0004598c	radio_maskset	0x0548	0x0001	0x0001
on	0x000459bc	radio_write	0x0549	0x0000	
on	0x000459e4	radio_write	0x054a	0x0000	
on	0x00045a0c	radio_write	0x054b	0x0000	
on	0x00045a34	radio_write	0x054c	0x0000	
on	0x00045a64	radio_maskset	0x040b	0x0001	0x0000
on	0x00045a70	udelay	0x0001		
on	0x00045aa0	radio_maskset	0x040b	0x0001	0x0001
on	0x00045af0	udelay	0x000a		
on	0x00045b6c	radio_maskset	0x0548	0x0001	0x0000
on	0x00045b98	radio_maskset	0x08ea	0x0040	0x0000
on	0x00045bc4	radio_maskset	0x08ea	0x0080	0x0000
on	0x00045bf0	radio_maskset	0x040b	0x0001	0x0000
on	0x00045c00	extern_call	wlc_phy_radio2069_rccal		
off	0x00045e00	phy_write	0x173e	0x0000	
off	0x00045e20	phy_write	0x1739	0x0000	
off	0x00045e40	phy_write	0x173a	0x0000	
off	0x00045e60	phy_write	0x1725	0x1fff	
off	0x00045e80	phy_write	0x1729	0x0000	
off	0x00045ea0	phy_write	0x1721	0xffff	
off	0x00045ec0	phy_write	0x1728	0x0000	
off	0x00045d88	phy_write	0x1720	0x03ff	
off	0x00045d98	phy_write	0x0408	0x0000	
off	0x00045da8	phy_write	0x0417	0x0000	
off	0x00045de8	phy_write	0x0416	0x0001	
