phase	addr	reg	val
mode	0x0005331c	0x0410	0x0077
mode	0x000534c0	0x0728	0x0080
mode	0x000534e8	0x0720	0x0180
mode	0x00053538	0x0721	0x5000
bphy	0x000536ac	0x033a	0x0395
bphy	0x000536bc	0x033b	0x0395
bphy	0x000536cc	0x033e	0x0395
bphy	0x000536dc	0x033f	0x0395
bphy	0x000536ec	0x0342	0x0395
bphy	0x000536fc	0x0343	0x0395
bphy	0x0005370c	0x0346	0x0395
bphy	0x0005371c	0x0347	0x0395
bphy	0x0005372c	0x033c	0x0315
bphy	0x0005373c	0x033d	0x0315
bphy	0x0005374c	0x0340	0x0315
bphy	0x0005375c	0x0341	0x0315
bphy	0x0005376c	0x0344	0x0315
bphy	0x0005377c	0x0345	0x0315
bphy	0x0005378c	0x0348	0x0315
bphy	0x0005379c	0x0349	0x0315
