  srom[000]:  0x3801  0x3000  0x0668  0x14e4  0x0218  0x1b7e  0x0a00  0x2bc4
  srom[008]:  0x2a64  0x2964  0x2c64  0x3ce7  0x460a  0x113c  0x2132  0x3164
  srom[016]:  0x1852  0x0005  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000
  srom[024]:  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000
  srom[032]:  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000
  srom[040]:  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000
  srom[048]:  0x43b3  0x8000  0x0002  0x0000  0x3ff3  0x1800  0x0000  0xffff
  srom[056]:  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff
  srom[064]:  0x0634  0x1353  0x0000  0x1000  0x0002  0x0000  0x0000  0x0000
  srom[072]:  0x0090  0x4c0d  0xdb00  0x0000  0x0000  0xffff  0xffff  0xffff
  srom[080]:  0x0300  0x4747  0x4785  0x8585  0x0033  0x30a1  0x00a1  0xffff
  srom[088]:  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff
  srom[096]:  0xffff  0xffff  0xffff  0xffff  0xffff  0x3222  0x3222  0x3222
  srom[104]:  0x0000  0x0000  0x0000  0x0004  0xff42  0xff24  0x188e  0xfce6
  srom[112]:  0xffff  0xb300  0x4c4c  0x4c4c  0xff4d  0x1690  0xfd24  0xff59
  srom[120]:  0x1710  0xfd28  0xff52  0x16fd  0xfd27  0xff55  0x1711  0xfd20
  srom[128]:  0xff42  0xff3e  0x15f9  0xfd36  0xffff  0xb300  0x4c4c  0x4c4c
  srom[136]:  0xff3f  0x1607  0xfd1f  0xff42  0x1690  0xfd21  0xff55  0x1772
  srom[144]:  0xfd1e  0xff5d  0x178d  0xfd1e  0xff42  0xff25  0x18a6  0xfce2
  srom[152]:  0xffff  0xb300  0x4c4c  0x4c4c  0xff5a  0x1729  0xfd25  0xff62
  srom[160]:  0x175c  0xfd30  0xff48  0x1720  0xfd15  0xff54  0x1741  0xfd21
  srom[168]:  0x0000  0x0000  0x4000  0x9944  0x4000  0x9944  0x4400  0x0000
  srom[176]:  0x6420  0xeca8  0x6420  0xeca8  0x6420  0xeca8  0x0000  0x0000
  srom[184]:  0x6420  0xcca8  0x6420  0xcca8  0x6420  0xcca8  0x0000  0x0000
  srom[192]:  0x6420  0xcca8  0x6420  0xcca8  0x6420  0xcca8  0x0000  0x0000
  srom[200]:  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000
  srom[208]:  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000  0x0000
  srom[216]:  0x0000  0x0000  0x0000  0x0000  0xffff  0x0f12  0xffff  0xffff
  srom[224]:  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff  0xffff
  srom[232]:  0xffff  0x2f0b
